Model,Classifier,baseline_n_features,baseline_training time,baseline_train_perf,baseline_val_perf,baseline_hyperparams,opt_training_time,opt_train_perf,opt_val_perf,opt_hyperparams
Baseline RF,RF,8,53.3,0.648318772,0.633219012,"n_estimators': 100,
 'max_depth': 10,
 'max_features': 'sqrt',",-,-,-,-
Baseline LGBM,LGBM,8,5.41,0.648204197,0.634380647,"max_depth': 7,
 'learning_rate': 0.1,
 'num_iterations': 100}",-,-,-,-
Extra_features RF,RF,"28,081",13.8,0.779810674,0.774514685,"n_estimators': 100,
 'max_depth': 10,
 'max_features': 'sqrt',",40.8,0.799017084,0.785335496,"max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 150"
Extra_features LGBM,LGBM,"28,081",41.9,0.875622195,0.858282185,"max_depth': 7,
 'learning_rate': 0.1,
 'num_iterations': 100}",91,0.862534744,0.854166279,"learning_rate': 0.1, 'max_depth': 7, 'num_iterations': 250"
Date_features only,LGBM,33,7.32,0.628606344,0.613113129,"max_depth': 7,
 'learning_rate': 0.1,
 'num_iterations': 100}",-,-,-,-
Date_features+extrafeatures,LGBM,"28,114",47.4,0.883953028,0.870056394,"max_depth': 7,
 'learning_rate': 0.1,
 'num_iterations': 100}",59.8,0.891228,0.871736,"learning_rate': 0.1, 'max_depth': 7, 'num_iterations': 200"
Text_features only,LGBM,"16,721",59,0.796428568,0.76527822,"max_depth': 7,
 'learning_rate': 0.1,
 'num_iterations': 100}",-,-,-,-
Sequential_features only,LGBM,"4,348",24.6,0.718171143,0.696963312,"max_depth': 7,
 'learning_rate': 0.1,
 'num_iterations': 100}",-,-,-,-
Text+sequential features,LGBM,"21,069",79,0.797786191,0.767741592,"max_depth': 7,
 'learning_rate': 0.1,
 'num_iterations': 100}",-,-,-,-
Combine_all features,RF,"21,199",20.4,0.794877613,0.788110569,"n_estimators': 100,
 'max_depth': 10,
 'max_features': 'sqrt',",72,0.823631156,0.802482676,"max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 300"
Combine_all features,LGBM,"21,199",73,0.885331686,0.870824002,"max_depth': 7,
 'learning_rate': 0.1,
 'num_iterations': 100}",149,0.896256247,0.873779631,"learning_rate': 0.1, 'max_depth': 10, 'num_iterations': 200"