,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_num_iterations,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,13.214276393254599,0.46708389733048405,0.29593634605407715,0.00245719904727904,0.1,3,100,0.863546814328414,0.8645828687864504,0.849992266295167,0.8593739831366771,0.006647345855337568,19
1,17.310946305592854,0.17606187900654535,0.5581003030141195,0.09023134464465901,0.1,3,150,0.8671757280746897,0.868013817628884,0.8527374299461776,0.8626423252165837,0.007012170907952244,14
2,24.53345028559367,1.5800532050739384,1.3788304328918457,0.7253809737020966,0.1,3,200,0.8693292218291246,0.8694071231634268,0.8544236512573404,0.8643866654166307,0.00704498665757593,11
3,32.73737661043803,4.173261463138414,0.8989357153574625,0.28846928620999274,0.1,3,250,0.870698687208332,0.8707185270047244,0.8553624057683898,0.8655932066604821,0.007234273221944123,10
4,29.03440237045288,3.547414528043,0.6636853218078613,0.10991295451327454,0.1,7,100,0.8764244026230358,0.8761468867643973,0.8619806277400032,0.8715173057091454,0.0067444013215056855,8
5,42.95052679379781,0.8875984584727199,0.8648432890574137,0.07708188856608111,0.1,7,150,0.8775918895082547,0.8766128049851507,0.8624890856454052,0.8722312600462702,0.006900344105839843,7
6,52.53798095385233,2.376939100693042,1.2426039377848308,0.2880722430127209,0.1,7,200,0.8779654050879896,0.8769429855422975,0.8622419955030307,0.8723834620444393,0.007183237113341749,6
7,59.18845931688944,1.3154605169787326,1.3893670241038005,0.011059505113856862,0.1,7,250,0.8781449286927481,0.8770241521954194,0.862010369796612,0.8723931502282598,0.007355978616431548,5
8,39.89304335912069,3.2985316226703665,1.0973071257273357,0.5587625195188689,0.1,10,100,0.8779317969010634,0.8766007606969886,0.8636872185837126,0.8727399253939215,0.006424252993557148,4
9,43.38829549153646,0.4882876841505409,1.0974926153818767,0.22508360030064306,0.1,10,150,0.8785882140451108,0.8771744366385623,0.8641483457000936,0.8733036654612555,0.006499466726107049,3
10,54.96867577234904,0.8781814147746104,1.1959457397460938,0.021427382369017586,0.1,10,200,0.8789666054042332,0.8772440027725591,0.8641486266775682,0.8734530782847868,0.006616718962344189,1
11,72.74005889892578,2.813622956419021,1.8723224798838298,0.259661321191318,0.1,10,250,0.8788330772870586,0.8769656082320687,0.8641252517916542,0.8733079791035938,0.006537773363662263,2
12,15.899340629577637,0.435372450934,0.28960593541463214,0.010534008981288489,0.01,3,100,0.8267691996334485,0.8305008302933935,0.8144807181102888,0.8239169160123768,0.006844104031017749,32
13,23.19839596748352,0.32133616863498493,0.4556683699289958,0.05614441989977785,0.01,3,150,0.8335767525211514,0.8370787474378286,0.821785663135723,0.8308137210315677,0.0065419346846403575,31
14,31.635992765426636,1.2553683358301573,0.60318390528361,0.05247442732604239,0.01,3,200,0.8395640323423812,0.8427106248628548,0.8264895497363192,0.8362547356471851,0.007023503543000224,30
15,29.653095642725628,0.9549061344487108,0.664592981338501,0.036619797543862485,0.01,3,250,0.8443483087137009,0.8468514787351155,0.8308037346857974,0.840667840711538,0.0070494399685041296,29
16,25.50027370452881,0.6811239884592759,0.42100365956624347,0.011014153104258215,0.01,7,100,0.8611214461241744,0.8622065816663829,0.8469199426901721,0.8567493234935766,0.0069645255890113745,20
17,36.941741387049355,0.8420263540272955,0.6875551541646322,0.032862676788774546,0.01,7,150,0.8648262840279433,0.8653423951245208,0.8506039554009617,0.8602575448511418,0.006829369644922149,17
18,47.624507983525596,0.9201784497141461,0.9324624538421631,0.004692888654195546,0.01,7,200,0.8675332831965974,0.8675341334181027,0.8523240545131618,0.8624638237092873,0.007169899566648539,15
19,104.93550968170166,14.810540330752117,1.596060037612915,0.07040736420542977,0.01,7,250,0.8692997003001368,0.8692226280924685,0.8534889657728659,0.8640037647218236,0.0074351522169601985,13
20,58.394827445348106,1.8385637145028295,0.6060552597045898,0.023322482436035318,0.01,10,100,0.8634315717182054,0.8638773183356112,0.8511662942636207,0.8594917281058124,0.005889782622319548,18
21,84.0835280418396,0.26853915948295715,0.9254782994588217,0.07081924143947743,0.01,10,150,0.8666398246433986,0.8667098095569601,0.8536347778323536,0.8623281373442374,0.006147199859783153,16
22,110.99840267499287,1.601023519823597,1.3607854048411052,0.0645419699893193,0.01,10,200,0.8688762360012114,0.868859635694961,0.8549833461867756,0.864239739294316,0.006545261844190965,12
23,143.71551704406738,9.988221462330111,1.8889543215433757,0.11082157435228193,0.01,10,250,0.8705632743489143,0.8707996806955205,0.8561716750318198,0.8658448766920849,0.006840667353423705,9
24,21.757853825887043,0.7976991234761347,0.3153344790140788,0.08735220928469344,0.001,3,100,0.8003547044492649,0.8076823057036265,0.788221071158539,0.7987526937704769,0.008025365668343524,36
25,34.67421738306681,4.454395881645094,0.6686758995056152,0.11277326253035581,0.001,3,150,0.8093437073389079,0.8111713364406192,0.7897053645954865,0.8034068027916712,0.009717067922518542,35
26,56.89290428161621,0.8508069597231983,1.036349614461263,0.06845158840091166,0.001,3,200,0.813020001538093,0.8144974501854616,0.797526661963996,0.8083480378958502,0.007675604055286134,34
27,73.48724500338237,3.5677913128058516,1.301743984222412,0.1697126787183878,0.001,3,250,0.8132888620776679,0.8160079134145182,0.7988538398120898,0.8093835384347586,0.007527913604546848,33
28,66.73363836606343,4.71296662334043,0.6401449044545492,0.11488818134953621,0.001,7,100,0.8496699676425059,0.8523878173376371,0.8355793410727019,0.8458790420176149,0.0073670236598558335,28
29,95.42184273401897,4.926220886202221,1.2795693079630535,0.15536669128002362,0.001,7,150,0.8512346494691988,0.8539221537396624,0.8371051379707215,0.847420647059861,0.0073762215091028914,27
30,71.59542878468831,15.932918682962722,0.9713946183522543,0.051402492198169364,0.001,7,200,0.8521549980029014,0.8543757081890466,0.8374987553879738,0.8480098205266406,0.007487534360285534,26
31,69.24571903546651,1.441620385470291,1.0882863998413086,0.04734304869463948,0.001,7,250,0.8524875345439153,0.8549502689999804,0.8385351135437829,0.8486576390292262,0.007227973754926527,25
32,32.4959200223287,0.6824116343709624,0.42874399820963544,0.005477987434439012,0.001,10,100,0.8527496376116046,0.8555727126425174,0.8414906263871023,0.8499376588804081,0.0060831300394212865,24
33,49.13072903951009,1.012097644324766,0.7340515454610189,0.038868587990759436,0.001,10,150,0.8536576838562837,0.8567989711591544,0.8423241942927837,0.8509269497694073,0.006216776915343756,23
34,66.60075743993123,1.5913435038711417,0.9607555866241455,0.02252986494229838,0.001,10,200,0.8547289970414373,0.857574321828345,0.8429728153523274,0.85175871140737,0.006320229183780015,22
35,74.76265668869019,12.275859131380164,1.1157041390736897,0.20747975646309877,0.001,10,250,0.8558670394037229,0.8581167841080837,0.8434051409432116,0.8524629881516727,0.006470383030783153,21
